Year,Month,Name,Mean_temp,Rain_sum,Days_w_rain
1951,1,KRAKÓW-OBSERWATORIUM,-0.5,29.8,6
1951,2,KRAKÓW-OBSERWATORIUM,1.3,26.3,2
1951,3,KRAKÓW-OBSERWATORIUM,2.5,38.8,10
1951,4,KRAKÓW-OBSERWATORIUM,9.7,61.0,12
1951,5,KRAKÓW-OBSERWATORIUM,13.3,132.9,19
1951,6,KRAKÓW-OBSERWATORIUM,18.0,71.5,17
1951,7,KRAKÓW-OBSERWATORIUM,19.2,66.2,12
1951,8,KRAKÓW-OBSERWATORIUM,20.4,63.4,12
1951,9,KRAKÓW-OBSERWATORIUM,16.2,42.1,11
1951,10,KRAKÓW-OBSERWATORIUM,6.7,0.0,0
1951,11,KRAKÓW-OBSERWATORIUM,7.4,38.7,14
1951,12,KRAKÓW-OBSERWATORIUM,2.2,18.8,13
1952,1,KRAKÓW-OBSERWATORIUM,0.4,58.0,6
1952,2,KRAKÓW-OBSERWATORIUM,-0.6,88.7,3
1952,3,KRAKÓW-OBSERWATORIUM,-2.3,48.6,3
1952,4,KRAKÓW-OBSERWATORIUM,11.2,25.0,4
1952,5,KRAKÓW-OBSERWATORIUM,12.6,39.1,18
1952,6,KRAKÓW-OBSERWATORIUM,16.8,84.7,22
1952,7,KRAKÓW-OBSERWATORIUM,20.1,45.2,8
1952,8,KRAKÓW-OBSERWATORIUM,20.4,60.9,11
1952,9,KRAKÓW-OBSERWATORIUM,12.6,100.2,20
1952,10,KRAKÓW-OBSERWATORIUM,8.4,92.9,23
1952,11,KRAKÓW-OBSERWATORIUM,2.5,86.1,14
1952,12,KRAKÓW-OBSERWATORIUM,-0.8,21.2,3
1953,1,KRAKÓW-OBSERWATORIUM,-1.3,73.7,2
1953,2,KRAKÓW-OBSERWATORIUM,-0.8,28.0,3
1953,3,KRAKÓW-OBSERWATORIUM,3.5,19.8,2
1953,4,KRAKÓW-OBSERWATORIUM,9.9,41.0,8
1953,5,KRAKÓW-OBSERWATORIUM,13.6,68.5,14
1953,6,KRAKÓW-OBSERWATORIUM,18.7,107.2,11
1953,7,KRAKÓW-OBSERWATORIUM,21.0,70.3,15
1953,8,KRAKÓW-OBSERWATORIUM,17.7,75.3,11
1953,9,KRAKÓW-OBSERWATORIUM,14.3,47.2,10
1953,10,KRAKÓW-OBSERWATORIUM,10.1,24.0,9
1953,11,KRAKÓW-OBSERWATORIUM,3.4,25.2,9
1953,12,KRAKÓW-OBSERWATORIUM,-0.2,24.0,6
1954,1,KRAKÓW-OBSERWATORIUM,-7.2,42.7,2
1954,2,KRAKÓW-OBSERWATORIUM,-7.6,6.7,0
1954,3,KRAKÓW-OBSERWATORIUM,4.1,17.3,9
1954,4,KRAKÓW-OBSERWATORIUM,5.7,82.8,14
1954,5,KRAKÓW-OBSERWATORIUM,14.0,48.0,13
1954,6,KRAKÓW-OBSERWATORIUM,19.0,83.4,13
1954,7,KRAKÓW-OBSERWATORIUM,18.1,70.7,20
1954,8,KRAKÓW-OBSERWATORIUM,19.1,48.9,8
1954,9,KRAKÓW-OBSERWATORIUM,16.0,26.4,10
1954,10,KRAKÓW-OBSERWATORIUM,9.3,24.3,11
1954,11,KRAKÓW-OBSERWATORIUM,3.5,23.5,6
1954,12,KRAKÓW-OBSERWATORIUM,3.3,82.9,16
